               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.17115,           0.0049567,                   0,             0.02097,            0.065657,            0.009097,           0.0013822,             0.10024,           0.0043049,                   0,            4.16e-05,            4.16e-05,            0.049392
                   1,             0.15395,           0.0051698,                   0,           0.0078004,            0.045455,           0.0039846,          0.00065714,            0.082472,           0.0045243,                   0,          8.6398e-05,          8.6398e-05,            0.048736
                   2,             0.13193,           0.0053479,                   0,            0.017404,            0.050505,           0.0061552,          0.00099951,            0.069137,           0.0043363,                   0,          0.00013119,          0.00013119,            0.048081
                   3,             0.11905,           0.0054569,                   0,           0.0090958,            0.050505,           0.0046263,          0.00090434,            0.065639,           0.0044447,                   0,          0.00017596,          0.00017596,            0.047426
                   4,             0.11088,           0.0054366,                   0,           0.0054785,             0.11616,           0.0032138,          0.00059854,            0.063735,           0.0043607,                   0,          0.00022071,          0.00022071,            0.046771
                   5,             0.11009,           0.0054857,                   0,            0.043585,            0.060606,            0.010426,           0.0018802,            0.059621,            0.004243,                   0,          0.00026544,          0.00026544,            0.046115
                   6,              0.1042,           0.0054681,                   0,           0.0093218,             0.13636,           0.0070504,           0.0011459,            0.058481,           0.0042064,                   0,          0.00031013,          0.00031013,             0.04546
                   7,            0.099574,           0.0055875,                   0,            0.050438,             0.22222,            0.027819,           0.0056764,            0.052685,           0.0041044,                   0,          0.00035478,          0.00035478,            0.044805
                   8,            0.093541,           0.0053735,                   0,            0.029202,            0.040404,            0.011589,           0.0022918,            0.053347,           0.0042821,                   0,          0.00039938,          0.00039938,            0.044149
                   9,            0.091218,           0.0054598,                   0,           0.0098355,             0.28283,           0.0071147,            0.001931,            0.046751,            0.004109,                   0,          0.00044393,          0.00044393,            0.043494
                  10,            0.083102,           0.0054994,                   0,           0.0071779,             0.39899,            0.006255,           0.0020056,            0.051139,           0.0039862,                   0,          0.00048842,          0.00048842,            0.042838
                  11,            0.086594,           0.0055303,                   0,            0.025026,             0.28283,            0.017925,           0.0055319,            0.043423,           0.0038983,                   0,          0.00053284,          0.00053284,            0.042183
                  12,            0.078945,           0.0053782,                   0,            0.010812,             0.44949,            0.009234,           0.0037166,            0.041373,           0.0039357,                   0,          0.00057719,          0.00057719,            0.041527
                  13,            0.076351,           0.0054454,                   0,             0.27105,             0.30303,             0.15722,            0.078706,            0.039377,           0.0037797,                   0,          0.00062146,          0.00062146,            0.040871
                  14,            0.075766,           0.0054477,                   0,             0.16092,             0.31313,             0.11327,            0.048913,            0.036224,           0.0037087,                   0,          0.00066564,          0.00066564,            0.040216
